Latitude,Longitude,Species,Count,Date
21.25835425,-158.1177017,"Black Noddy (2) 2021-01-14, Great Frigatebird (1) 2021-01-14, Laysan Albatross (1) 2021-01-14, White Tern (1) 2021-01-14, Zebra Dove",1,2021-01-14
21.27499189,-157.8766382,"Brown Booby (3) 2024-01-10, Rock Pigeon (1) 2020-03-05, Sooty Tern (1) 2020-03-05, Wedge-tailed Shearwater (1) 2023-11-07, White Tern",2,2023-11-07
21.29305893,-157.8765009,"Brown Booby (4) 2024-01-10, Red-footed Booby (1) 2023-02-14, Sooty Tern (1) 2023-01-24, Wedge-tailed Shearwater (1) 2023-10-07, White Tern",2,2023-02-14
21.3128047,-158.1655839,"Black Noddy (1) 2019-10-13, Brown Booby (1) 2019-10-13, Masked Booby (1) 2019-10-13, Wedge-tailed Shearwater (1) 2019-10-13, White Tern",1,2019-10-13
21.31156388,-157.9438458,"House Sparrow (2) 2021-12-02, Pacific Golden-Plover (2) 2021-12-02, Spotted Dove (2) 2021-12-02, White Tern",2,2023-06-29
21.31912965,-157.7316887,"Red Junglefowl (1) 2022-10-17, Red-billed Leiothrix (1) 2022-10-17, Red-vented Bulbul (1) 2022-10-17, Red-whiskered Bulbul (1) 2022-10-17, Warbling White-eye",1,2022-10-17
21.32992778,-157.9919253,"Gray Francolin (3) 2019-06-09, Mourning Dove (1) 2019-03-15, Saffron Finch (2) 2019-04-18, Spotted Dove (1) 2019-04-16, White-rumped Shama",1,2019-05-13
21.34854812,-158.0882329,"Common Myna (1) 2021-03-21, House Sparrow (1) 2020-12-20, Java Sparrow (1) 2020-12-20, Spotted Dove (2) 2021-05-27, Zebra Dove",1,2020-12-21
21.35575839,-157.7988761,"Common Myna (1) 2021-07-16, Red-whiskered Bulbul (1) 2021-07-16, Western Cattle Egret (1) 2021-07-16, White-rumped Shama (2) 2023-09-25, Zebra Dove",1,2021-07-16
21.36672346,-158.1074103,"Erckel's Spurfowl (1) 2019-01-23, Eurasian Skylark (2) 2020-10-25, Northern Mockingbird (1) 2019-01-23, Western Cattle Egret (1) 2019-01-23, Zebra Dove",1,2019-01-23
21.36513036,-157.8470199,"Pacific Golden-Plover (1) 2024-02-02, Red Junglefowl (1) 2023-05-17, Red-whiskered Bulbul (1) 2024-02-02, Western Cattle Egret (1) 2023-05-17, White-rumped Shama",1,2024-02-02
21.37492194,-157.9626826,"Common Myna (1) 2023-11-15, Pacific Golden-Plover (1) 2023-11-15, Spotted Dove (1) 2023-11-15, Western Cattle Egret (1) 2023-11-15, Zebra Dove",1,2023-11-15
21.38377238,-157.933683,"Common Myna (2) 2023-03-29, Red Junglefowl (2) 2023-03-29, Red-vented Bulbul (2) 2023-03-29, Rose-ringed Parakeet (2) 2023-07-03, Zebra Dove",2,2023-03-29
21.39274372,-157.9239717,"Common Myna (1) 2019-09-20, Red-crested Cardinal (1) 2019-09-20, Red-vented Bulbul (1) 2019-09-20, Red-whiskered Bulbul (1) 2019-09-20, Zebra Dove",1,2019-09-20
21.41055867,-157.8852521,"Apapane (1) 2021-10-31, House Finch (1) 2021-10-31, Oahu Amakihi (1) 2021-10-31, Red-billed Leiothrix (1) 2021-10-31, Warbling White-eye",1,2021-10-31
21.4396103,-158.2324139,"Black Noddy (1) 2023-05-14, Brown Booby (1) 2023-05-14, Brown Noddy (1) 2023-05-14, Wedge-tailed Shearwater (1) 2023-05-14, White Tern",1,2023-05-14
